country,confirmed
Afghanistan,17026442.0
Albania,19768869.0
Algeria,27684358.0
Andorra,2379802.0
Angola,4764863.0
Antigua and Barbuda,143868.0
Argentina,504802880.0
Armenia,42536277.0
Aruba,19.0
Australia,9447438.0
Austria,97965875.0
Azerbaijan,52366765.0
Bahamas,2139344.0
Bahrain,33934748.0
Bangladesh,161494811.0
Barbados,474762.0
Belarus,65435028.0
Belgium,179009886.0
Belize,2399352.0
Benin,1365462.0
Bhutan,196080.0
Bolivia,61346449.0
Bosnia and Herzegovina,31257028.0
Botswana,6063426.0
Brazil,2653587540.0
Brunei,71229.0
Bulgaria,56530042.0
Burkina Faso,2249316.0
Burma,27717649.0
Burundi,492722.0
Cabo Verde,3941085.0
Cambodia,955901.0
Cameroon,11346589.0
Canada,193497537.0
Cape Verde,1.0
Cayman Islands,3.0
Central African Republic,1776825.0
Chad,883727.0
Channel Islands,1.0
Chile,232444395.0
China,40822596.0
Colombia,515307146.0
Comoros,579705.0
Congo,8435289.0
Costa Rica,47395838.0
Croatia,50531146.0
Cuba,11110101.0
Curacao,2.0
Cyprus,7736086.0
Czech Republic,237860726.0
Democratic Republic of Congo,1.0
Denmark,42700338.0
Diamond Princess,306872.0
Djibouti,2387030.0
Dominica,31141.0
Dominican Republic,57000335.0
East Timor,1.0
Ecuador,74790536.0
Egypt,50168167.0
El Salvador,14619435.0
Equatorial Guinea,1919781.0
Eritrea,522945.0
Estonia,13834670.0
Eswatini,3401276.0
Ethiopia,41388062.0
Faroe Islands,10.0
Fiji,20720.0
Finland,13103437.0
France,855188962.0
French Guiana,117.0
Gabon,4237601.0
Gambia,1250682.0
Georgia,51183744.0
Germany,524166833.0
Ghana,20784664.0
Gibraltar,7.0
Greece,44502618.0
Greenland,3.0
Grenada,30738.0
Guadeloupe,187.0
Guam,6.0
Guatemala,44774712.0
Guernsey,3.0
Guinea,4860849.0
Guinea-Bissau,973695.0
Guyana,2068280.0
Haiti,3532804.0
Holy See,8448.0
Honduras,41138599.0
Hong Kong,2655935.0
Hungary,98903229.0
Iceland,1729527.0
India,3226768088.0
Indonesia,265186050.0
Iran,400909778.0
Iraq,187310643.0
Ireland,42974124.0
Israel,153263218.0
Italy,636694305.0
Ivory Coast,9253034.0
Jamaica,5774810.0
Japan,89378076.0
Jersey,6.0
Jordan,90344299.0
Kazakhstan,70060029.0
Kenya,27728648.0
Kiribati,21.0
Kosovo,15865976.0
Kuwait,53341259.0
Kyrgyzstan,22692500.0
Laos,58871.0
Latvia,15266130.0
Lebanon,71885997.0
Lesotho,1705201.0
Liberia,576370.0
Libya,29458062.0
Liechtenstein,500670.0
Lithuania,36339959.0
Luxembourg,12154223.0
MS Zaandam,3824.0
Macau,20605.0
Madagascar,6579780.0
Malawi,5235180.0
Malaysia,53546912.0
Maldives,5502303.0
Mali,2273550.0
Malta,4556210.0
Marshall Islands,804.0
Martinique,172.0
Mauritania,4104867.0
Mauritius,235313.0
Mayotte,21.0
Mexico,460463678.0
Micronesia,129.0
Moldova,42907803.0
Monaco,364464.0
Mongolia,2388966.0
Montenegro,14990089.0
Morocco,104557135.0
Mozambique,9979000.0
Namibia,7912632.0
Nepal,67252242.0
Netherlands,234955991.0
New Zealand,836280.0
Nicaragua,1929682.0
Niger,1047041.0
Nigeria,33407947.0
North Ireland,1.0
North Macedonia,23650041.0
Norway,17283377.0
Oman,42831069.0
Others,26228.0
Pakistan,165572396.0
Palestine,86.0
Panama,73445278.0
Papua New Guinea,886555.0
Paraguay,38225829.0
Peru,361150607.0
Philippines,164420468.0
Poland,380680836.0
Portugal,141962632.0
Puerto Rico,3.0
Qatar,52791589.0
Republic of Ireland,21.0
Reunion,137.0
Romania,173082798.0
Russia,930548849.0
Rwanda,3770080.0
Saint Barthelemy,17.0
Saint Kitts and Nevis,11211.0
Saint Lucia,502993.0
Saint Vincent and the Grenadines,229517.0
Samoa,481.0
San Marino,851906.0
Sao Tome and Principe,470914.0
Saudi Arabia,123111168.0
Senegal,7893507.0
Serbia,95624419.0
Seychelles,608196.0
Sierra Leone,1008350.0
Singapore,21476559.0
Sint Maarten,4.0
Slovakia,55789871.0
Slovenia,35538663.0
Solomon Islands,3818.0
Somalia,2211790.0
South Africa,345940039.0
South Korea,20814483.0
South Sudan,1748600.0
Spain,649111763.0
Sri Lanka,15676007.0
Sudan,7632455.0
Suriname,2148896.0
Sweden,142264880.0
Switzerland,115902800.0
Syria,3494790.0
Taiwan,339919.0
Tajikistan,3988242.0
Tanzania,205081.0
Thailand,7139288.0
Timor-Leste,183796.0
Togo,1691382.0
Trinidad and Tobago,2119871.0
Tunisia,44779270.0
Turkey,618940956.0
Uganda,8016407.0
Ukraine,310910152.0
United Arab Emirates,83739255.0
United Kingdom,783794384.0
United States,6049145667.0
Uruguay,17112011.0
Uzbekistan,22207571.0
Vanuatu,406.0
Vatican City,4.0
Venezuela,35958070.0
Vietnam,615984.0
West Bank and Gaza,41819444.0
Yemen,962066.0
Zambia,13493953.0
Zimbabwe,6484581.0
occupied Palestinian territory,25.0
