country,confirmed
Afghanistan,3252050422.0
Albania,4665453084.0
Algeria,6062874402.0
Andorra,516417034.0
Angola,881499655.0
Antigua and Barbuda,28341996.0
Argentina,127210325760.0
Armenia,6763268043.0
Aruba,3078.0
Australia,1927277352.0
Austria,24883332250.0
Azerbaijan,12201456245.0
Bahamas,376524544.0
Bahrain,8755164984.0
Bangladesh,36174837664.0
Barbados,95901924.0
Belarus,16031581860.0
Belgium,45110491272.0
Belize,451078176.0
Benin,154297206.0
Bhutan,30980640.0
Bolivia,13496218780.0
Bosnia and Herzegovina,5907578292.0
Botswana,976211586.0
Brazil,620939484360.0
Brunei,11111724.0
Bulgaria,14245570584.0
Burkina Faso,204687756.0
Burma,27717649.0
Burundi,492722.0
Cabo Verde,3941085.0
Cambodia,200739210.0
Cameroon,1690641761.0
Canada,51663842379.0
Cape Verde,167.0
Cayman Islands,753.0
Central African Republic,188343450.0
Chad,75116795.0
Channel Islands,1.0
Chile,59505765120.0
China,10858810536.0
Colombia,102546122054.0
Comoros,74781945.0
Congo,1130328726.0
Costa Rica,11848959500.0
Croatia,12632786500.0
Cuba,1211001009.0
Curacao,320.0
Cyprus,1864396726.0
Czech Republic,237860726.0
Democratic Republic of Congo,141.0
Denmark,11230188894.0
Diamond Princess,306872.0
Djibouti,329410140.0
Dominica,6383905.0
Dominican Republic,11571068005.0
East Timor,1.0
Ecuador,17052242208.0
Egypt,11287837575.0
El Salvador,2953125870.0
Equatorial Guinea,332122113.0
Eritrea,522945.0
Estonia,3514006180.0
Eswatini,506790124.0
Ethiopia,6290985424.0
Faroe Islands,10.0
Fiji,3480960.0
Finland,3275859250.0
France,213797240500.0
French Guiana,117.0
Gabon,703441766.0
Gambia,213866622.0
Georgia,9059522688.0
Germany,133138375582.0
Ghana,2930637624.0
Gibraltar,1645.0
Greece,11259162354.0
Greenland,669.0
Grenada,6301290.0
Guadeloupe,187.0
Guam,6.0
Guatemala,8641519416.0
Guernsey,678.0
Guinea,772874991.0
Guinea-Bissau,101264280.0
Guyana,423997400.0
Haiti,176640200.0
Holy See,8448.0
Honduras,7857472409.0
Hong Kong,523219195.0
Hungary,25022516937.0
Iceland,428922696.0
India,758290500680.0
Indonesia,63114279900.0
Iran,84191053380.0
Iraq,35589022170.0
Ireland,10700556876.0
Israel,40001699898.0
Italy,161720353470.0
Ivory Coast,9253034.0
Jamaica,1051015420.0
Japan,18054371352.0
Jersey,1032.0
Jordan,21501943162.0
Kazakhstan,15343146351.0
Kenya,5157528528.0
Kiribati,1827.0
Kosovo,2570288112.0
Kuwait,10081497951.0
Kyrgyzstan,3698877500.0
Laos,10184683.0
Latvia,4228718010.0
Lebanon,14808515382.0
Lesotho,294999773.0
Liberia,59942480.0
Libya,4065212556.0
Liechtenstein,129172860.0
Lithuania,9230349586.0
Luxembourg,3050709973.0
MS Zaandam,3824.0
Macau,4347655.0
Madagascar,776414040.0
Malawi,910921320.0
Malaysia,10441647840.0
Maldives,1188497448.0
Mali,366041550.0
Malta,1057040720.0
Marshall Islands,804.0
Martinique,172.0
Mauritania,656778720.0
Mauritius,51768860.0
Mayotte,21.0
Mexico,117878701568.0
Micronesia,129.0
Moldova,7980851358.0
Monaco,90022608.0
Mongolia,470626302.0
Montenegro,2983027711.0
Morocco,23211683970.0
Mozambique,1716388000.0
Namibia,1329322176.0
Nepal,15064502208.0
Netherlands,56154481849.0
New Zealand,167256000.0
Nicaragua,360850534.0
Niger,161244314.0
Nigeria,6213878142.0
North Ireland,1.0
North Macedonia,4753658241.0
Norway,4804778806.0
Oman,10793429388.0
Others,26228.0
Pakistan,35929209932.0
Palestine,13330.0
Panama,16892413940.0
Papua New Guinea,136529470.0
Paraguay,7492262484.0
Peru,75480476863.0
Philippines,31404309388.0
Poland,95931570672.0
Portugal,36058508528.0
Puerto Rico,3.0
Qatar,13673021551.0
Republic of Ireland,21.0
Reunion,137.0
Romania,43789947894.0
Russia,247525993834.0
Rwanda,769096320.0
Saint Barthelemy,17.0
Saint Kitts and Nevis,2174934.0
Saint Lucia,98586628.0
Saint Vincent and the Grenadines,39476924.0
Samoa,57720.0
San Marino,162714046.0
Sao Tome and Principe,82880864.0
Saudi Arabia,30039124992.0
Senegal,1515553344.0
Serbia,23045484979.0
Seychelles,129545748.0
Sierra Leone,168394450.0
Singapore,5111421042.0
Sint Maarten,4.0
Slovakia,13724308266.0
Slovenia,9026820402.0
Solomon Islands,618516.0
Somalia,316285970.0
South Africa,69879887878.0
South Korea,4017195219.0
South Sudan,271033000.0
Spain,159032381935.0
Sri Lanka,3480073554.0
Sudan,1266987530.0
Suriname,423332512.0
Sweden,35708484880.0
Switzerland,29902922400.0
Syria,611588250.0
Taiwan,57786230.0
Tajikistan,466624314.0
Tanzania,4306701.0
Thailand,1320768280.0
Timor-Leste,183796.0
Togo,306140142.0
Trinidad and Tobago,432453684.0
Tunisia,7970710060.0
Turkey,146689006572.0
Uganda,1426920446.0
Ukraine,60627479640.0
United Arab Emirates,20516117475.0
United Kingdom,209273100528.0
United States,1566728727753.0
Uruguay,3285506112.0
Uzbekistan,3397758363.0
Vanuatu,36540.0
Vatican City,4.0
Venezuela,6903949440.0
Vietnam,110261136.0
West Bank and Gaza,41819444.0
Yemen,76965280.0
Zambia,1929635279.0
Zimbabwe,1296916200.0
occupied Palestinian territory,25.0
